StationName,Latitude,Longitude,StartYear,EndYear,NormalValue.Element,NormalValue.ValueOnJanuary,NormalValue.ValueOnFebruary,NormalValue.ValueOnMarch,NormalValue.ValueOnApril,NormalValue.ValueOnMay,NormalValue.ValueOnJune,NormalValue.ValueOnJuly,NormalValue.ValueOnAugust,NormalValue.ValueOnSeptember,NormalValue.ValueOnOctober,NormalValue.ValueOnNovember,NormalValue.ValueOnDecember
TAKFA AGROMET.,15.349,100.53,1981,2010,Mean Relative Humidity,59.809,63.243,64.935,68.262,75.75,77.68,80.27,81.05,83.1,80.74,67.53,62.3
TAKFA AGROMET.,15.349,100.53,1981,2010,Total Rainfall,7.517,14.264,40.14,80.8,151.96,140.67,138.12,189.96,254.4,151.26,28.35,3.47
CHAINAT AGROMET.,15.15,100.183,1981,2010,Mean Station Pressure,1010.878,1008.954,1007.338,1006.166,1004.69,1004.13,1004.19,1004.15,1005.4,1007.54,1009.61,1010.08
CHAINAT AGROMET.,15.15,100.183,1981,2010,Mean MSL Pressure,1012.832,1010.89,1009.261,1008.077,1006.61,1006.04,1006.11,1006.07,1007.32,1009.47,1011.55,1012.03
CHAINAT AGROMET.,15.15,100.183,1981,2010,Mean Maximum Temperature,31.519,33.114,34.879,36.545,34.61,34.29,33.34,33.29,33.14,32.28,31.89,31.58
CHAINAT AGROMET.,15.15,100.183,1981,2010,Mean Minimum Temperature,20.17,22.738,24.284,25.659,25.82,25.55,25.17,25.09,20.16,19.94,22.6,20.5
CHAINAT AGROMET.,15.15,100.183,1981,2010,Mean Dry-bulb Temperature,24.998,27.077,28.622,30.141,29.19,29.01,28.39,28.23,28.11,27.76,26.53,25.28
CHAINAT AGROMET.,15.15,100.183,1981,2010,Mean Relative Humidity,70.882,73.866,72.315,69.752,74.78,76.3,77.29,78.39,80.99,80.87,72.32,71.18
CHAINAT AGROMET.,15.15,100.183,1981,2010,Total Rainfall,3.725,10.251,21.781,54.034,134.66,95.33,119.88,141.39,234.36,156.81,28.43,6.67
CHAIYAPHUM,15.8,102.033,1981,2010,Mean Station Pressure,1000.026,999.883,999.301,1000.855,1000.97,1000.85,1000.83,1000.85,1000.33,999.44,997.51,997.6
CHAIYAPHUM,15.8,102.033,1981,2010,Mean MSL Pressure,1013.729,1011.611,1009.725,1008.178,1007.01,1005.97,1006.01,1006.14,1008,1010.62,1012.89,1014.65
CHAIYAPHUM,15.8,102.033,1981,2010,Mean Maximum Temperature,31.049,33.651,35.687,36.446,34.62,33.54,32.91,32.32,32.02,31.56,30.91,29.9
CHAIYAPHUM,15.8,102.033,1981,2010,Mean Minimum Temperature,18.512,20.872,23.136,24.899,25.03,24.91,24.53,24.27,24.09,23.44,21.21,18.48
CHAIYAPHUM,15.8,102.033,1981,2010,Mean Dry-bulb Temperature,24.244,26.706,28.793,29.95,28.93,28.52,28.01,27.56,27.32,26.96,25.6,23.75
CHAIYAPHUM,15.8,102.033,1981,2010,Mean Relative Humidity,61.431,59.485,59.32,64.246,73.52,75.07,76.21,78.63,80.78,75.73,67.37,62.52
CHAIYAPHUM,15.8,102.033,1981,2010,Total Rainfall,4.461,14.284,51.307,92.627,140.21,137.59,110.35,196.16,229.96,137.02,19.01,4.13
ROI ET,16.02,103.744,1981,2010,Mean Station Pressure,1001.325,999.967,998.373,999.227,998.03,999.14,1000.05,1000.19,997.2,1000.02,999.12,1000.45
ROI ET,16.02,103.744,1981,2010,Mean MSL Pressure,1013.535,1011.418,1009.453,1007.793,1006.59,1005.37,1005.35,1005.4,1007.44,1010.19,1012.54,1014.37
ROI ET,16.02,103.744,1981,2010,Mean Maximum Temperature,30.302,32.624,34.709,35.748,34.24,33.13,32.42,31.72,31.36,31.09,30.47,29.3
ROI ET,16.02,103.744,1981,2010,Mean Minimum Temperature,17.21,19.845,22.693,24.805,24.98,25.22,25.04,24.84,24.45,22.99,20.12,17.26
ROI ET,16.02,103.744,1981,2010,Mean Dry-bulb Temperature,23.286,25.746,28.193,29.754,28.99,28.69,28.28,27.88,27.52,26.7,24.92,22.88
ROI ET,16.02,103.744,1981,2010,Mean Relative Humidity,64.723,62.577,60.974,64.56,73.28,76.14,77.08,79.87,81.18,76.85,69.87,65.7
ROI ET,16.02,103.744,1981,2010,Total Rainfall,3.614,19.241,41.244,75.943,186.13,223.53,195.88,252.18,219.82,107.27,15.15,2.06
ROI ET AGROMET.,16.073,103.608,1981,2010,Mean Station Pressure,995.788,993.615,991.682,990.459,989.03,988.08,987.83,987.87,989.41,991.94,994.25,994.84
ROI ET AGROMET.,16.073,103.608,1981,2010,Mean MSL Pressure,1013.813,1011.435,1009.319,1007.997,1006.59,1005.61,1005.4,1005.46,1007.04,1009.67,1012.15,1012.82
ROI ET AGROMET.,16.073,103.608,1981,2010,Mean Maximum Temperature,30.174,32.748,35.001,35.482,33.83,33.51,32.45,31.59,31.5,30.94,30.29,30.07
ROI ET AGROMET.,16.073,103.608,1981,2010,Mean Minimum Temperature,16.934,19.843,22.522,24.387,24.6,25.25,24.92,24.88,24.54,23.31,19.73,17.84
ROI ET AGROMET.,16.073,103.608,1981,2010,Mean Dry-bulb Temperature,22.999,25.746,28.2,29.492,28.63,28.95,28.2,27.78,27.53,26.75,24.63,23.46
ROI ET AGROMET.,16.073,103.608,1981,2010,Mean Relative Humidity,67.712,66.653,67.412,70.395,77.11,78.93,80.34,83.81,85.4,81.72,73.07,70.8
ROI ET AGROMET.,16.073,103.608,1981,2010,Total Rainfall,2.378,17.16,42.856,85.567,175.99,215.89,177.85,262.23,231.9,104.6,16.27,1.86
UBON RATCHATHANI AGROMET.,15.239,105.024,1981,2010,Mean Station Pressure,998.494,996.726,995.025,993.845,992.57,991.84,991.6,991.48,992.63,994.72,996.69,997.39
UBON RATCHATHANI AGROMET.,15.239,105.024,1981,2010,Mean MSL Pressure,1013.588,1011.673,1009.835,1008.58,1007.34,1006.59,1006.38,1006.29,1007.45,1009.61,1011.68,1012.45
UBON RATCHATHANI AGROMET.,15.239,105.024,1981,2010,Mean Maximum Temperature,31.9,34.146,36.012,36.428,34.03,33.98,32.69,31.75,32,31.74,31.52,31.72
UBON RATCHATHANI AGROMET.,15.239,105.024,1981,2010,Mean Minimum Temperature,17.097,19.5,22.266,24.228,24.24,24.59,24.12,24,23.8,22.85,20.16,18.24
UBON RATCHATHANI AGROMET.,15.239,105.024,1981,2010,Mean Dry-bulb Temperature,23.684,26.055,28.289,29.419,28.26,28.48,27.77,27.2,27.18,26.61,25.09,24.13
UBON RATCHATHANI AGROMET.,15.239,105.024,1981,2010,Mean Relative Humidity,66.401,65.189,63.659,68.788,77.94,79.47,81.29,84.84,84.31,81,71.8,69.36
UBON RATCHATHANI AGROMET.,15.239,105.024,1981,2010,Total Rainfall,2.398,15.688,26.208,76.903,218.92,242.47,260.31,318.93,288.61,129.21,27.92,0.73
UBON RATCHATHANI,15.25,104.867,1981,2010,Mean Station Pressure,1000.621,1000.64,998.771,999.981,997.3,996.93,999.02,998.89,998.05,1001.25,1001.15,999.47
UBON RATCHATHANI,15.25,104.867,1981,2010,Mean MSL Pressure,1013.381,1011.596,1009.811,1008.311,1007.21,1006.22,1006.17,1006.15,1007.81,1010.05,1012.1,1013.89
UBON RATCHATHANI,15.25,104.867,1981,2010,Mean Maximum Temperature,31.718,33.999,35.847,36.446,34.75,33.26,32.55,31.88,31.84,31.76,31.37,30.55
UBON RATCHATHANI,15.25,104.867,1981,2010,Mean Minimum Temperature,17.492,19.93,22.53,24.414,24.5,24.42,24.16,23.95,23.65,22.49,20.27,17.8
UBON RATCHATHANI,15.25,104.867,1981,2010,Mean Dry-bulb Temperature,24.174,26.512,28.862,30.03,29.03,28.38,27.99,27.6,27.38,26.76,25.41,23.68
UBON RATCHATHANI,15.25,104.867,1981,2010,Mean Relative Humidity,65.029,63.431,61.808,66.193,74.51,78.71,79.74,81.89,82.27,77.57,71.19,67.72
UBON RATCHATHANI,15.25,104.867,1981,2010,Total Rainfall,1.994,15.378,30.46,86.76,208.57,240.16,254.41,303.31,293.8,123.06,22.59,0.98
SI SAKET AGROMET.,15,104.05,1981,2010,Mean Station Pressure,998.864,996.965,995.289,994.039,992.87,992.14,991.93,991.86,993.07,995.11,997.14,997.8
SI SAKET AGROMET.,15,104.05,1981,2010,Mean MSL Pressure,1013.6,1011.545,1009.762,1008.466,1007.29,1006.54,1006.36,1006.33,1007.56,1009.66,1011.8,1012.53
SI SAKET AGROMET.,15,104.05,1981,2010,Mean Maximum Temperature,30.879,33.472,35.479,36.231,34.06,34.03,32.94,31.93,31.74,31.14,30.69,30.66
SI SAKET AGROMET.,15,104.05,1981,2010,Mean Minimum Temperature,17.235,19.845,22.565,24.713,24.93,25.39,24.94,24.77,24.29,23.76,20.8,18.47
SI SAKET AGROMET.,15,104.05,1981,2010,Mean Dry-bulb Temperature,23.42,26.02,28.335,29.606,28.69,28.95,28.25,27.69,27.48,26.91,25.23,24.12
SI SAKET AGROMET.,15,104.05,1981,2010,Mean Relative Humidity,68.954,67.764,67.311,70.529,77.96,78.64,80.7,83.83,84.68,81.47,72.58,71.11
SI SAKET AGROMET.,15,104.05,1981,2010,Total Rainfall,2.886,15.149,32.9,76.089,213.45,194.07,216.79,272.49,248.97,135.15,26.43,1.12
AYUTTHAYA,14.535,100.725,1981,2010,Mean Station Pressure,1011.429,1009.791,1008.251,1007.204,1005.77,1005.23,1005.34,1005.21,1006.37,1008.13,1010.03,1010.47
AYUTTHAYA,14.535,100.725,1981,2010,Mean MSL Pressure,1012.549,1010.9,1009.354,1008.304,1006.88,1006.33,1006.44,1006.31,1007.47,1009.24,1011.14,1011.59
AYUTTHAYA,14.535,100.725,1981,2010,Mean Maximum Temperature,32.887,34.659,35.766,36.125,34.46,34.42,33.66,33.38,33.05,32.61,32.2,32.38
AYUTTHAYA,14.535,100.725,1981,2010,Mean Minimum Temperature,19.661,22.48,24.275,25.03,24.76,24.49,24.17,24.08,23.96,23.57,21.28,20.05
AYUTTHAYA,14.535,100.725,1981,2010,Mean Dry-bulb Temperature,25.838,28.1,29.389,29.82,29.03,29,28.48,28.44,28.22,27.89,26.48,25.81
AYUTTHAYA,14.535,100.725,1981,2010,Mean Relative Humidity,67.013,69.893,70.875,74.705,79.86,79.15,79.36,79.84,83.27,81.82,72.2,68.79
AYUTTHAYA,14.535,100.725,1981,2010,Total Rainfall,5.573,6.535,36.017,67.833,134.37,125.52,131.92,173.12,248.57,112.07,33.16,10.39
PATHUMTHANI,14.1,100.617,1981,2010,Mean Station Pressure,1011.833,1010.275,1008.802,1007.775,1006.33,1005.87,1006.04,1005.92,1006.92,1008.61,1010.3,1010.89
PATHUMTHANI,14.1,100.617,1981,2010,Mean MSL Pressure,1012.64,1011.076,1009.598,1008.569,1007.12,1006.67,1006.84,1006.72,1007.72,1009.41,1011.1,1011.7
PATHUMTHANI,14.1,100.617,1981,2010,Mean Maximum Temperature,32.698,34.621,35.913,36.288,34.69,34.74,33.6,33.56,33.38,32.81,32.41,32.41
PATHUMTHANI,14.1,100.617,1981,2010,Mean Minimum Temperature,21.438,23.464,24.857,25.723,25.89,26.03,25.62,25.45,25.16,24.88,23.18,21.77
PATHUMTHANI,14.1,100.617,1981,2010,Mean Dry-bulb Temperature,26.742,28.665,29.924,30.318,29.62,29.72,29.09,28.98,28.69,28.4,27.61,27.01
PATHUMTHANI,14.1,100.617,1981,2010,Mean Relative Humidity,67.524,70.06,69.714,72.76,77.75,76.77,76.94,76.82,79.95,80.26,69.44,67.06
PATHUMTHANI,14.1,100.617,1981,2010,Total Rainfall,4.45,22.767,71.917,119.592,199.55,175.65,146.38,166.56,273.11,170.1,39.63,6.92
CHACHOENGSAO,13.516,101.458,1981,2010,Mean Station Pressure,1006.063,1004.708,1003.406,1002.401,1001.01,1000.59,1000.73,1000.54,1001.47,1002.96,1004.43,1005
CHACHOENGSAO,13.516,101.458,1981,2010,Mean MSL Pressure,1014.174,1012.757,1011.422,1010.4,1009.01,1008.58,1008.74,1008.55,1009.49,1011,1012.52,1013.11
CHACHOENGSAO,13.516,101.458,1981,2010,Mean Maximum Temperature,32.885,34.613,35.409,35.194,33.79,33.72,32.72,32.87,32.48,32.17,31.96,32.49
CHACHOENGSAO,13.516,101.458,1981,2010,Mean Minimum Temperature,19.553,21.908,23.34,24.427,24.81,24.95,24.61,24.55,24.2,23.74,21.26,19.57
CHACHOENGSAO,13.516,101.458,1981,2010,Mean Dry-bulb Temperature,25.248,27.087,27.896,28.228,27.86,28.04,27.42,27.42,26.98,26.7,25.61,25
CHACHOENGSAO,13.516,101.458,1981,2010,Mean Relative Humidity,67.831,71.368,74.79,79.652,83.7,82.29,83.62,83.3,86.35,85.11,75.45,70.77
CHACHOENGSAO,13.516,101.458,1981,2010,Total Rainfall,9.733,25.423,91.219,118.136,157.53,137.02,163.97,173.69,260.19,168.7,26.09,5.09
RATCHA BURI,13.489,99.792,1981,2010,Mean Station Pressure,1012.012,1008.993,1008.811,1007.404,1005.58,1005.59,1005.9,1005.99,1006.17,1007.87,1009.95,1010.22
RATCHA BURI,13.489,99.792,1981,2010,Mean MSL Pressure,1013.087,1010.054,1009.869,1008.457,1006.63,1006.64,1006.95,1007.05,1007.22,1008.94,1011.02,1011.36
RATCHA BURI,13.489,99.792,1981,2010,Mean Maximum Temperature,31.968,34.226,35.724,36.185,34.27,34.06,32.99,33.22,32.86,31.72,30.87,31.18
RATCHA BURI,13.489,99.792,1981,2010,Mean Minimum Temperature,20.259,22.207,23.91,25.321,25.44,25.26,25.04,24.96,24.77,24.5,22.5,20.72
RATCHA BURI,13.489,99.792,1981,2010,Mean Dry-bulb Temperature,25.343,27.379,28.781,29.619,28.62,28.38,27.93,27.96,27.65,27.04,25.89,25.22
RATCHA BURI,13.489,99.792,1981,2010,Mean Relative Humidity,71.49,73.693,74.234,74.857,80.84,81.09,80.59,80.06,83.11,85.63,77.54,72.81
RATCHA BURI,13.489,99.792,1981,2010,Total Rainfall,1.546,6.517,34.95,45.773,159.64,135.98,131.09,119.51,229.23,250.92,51.02,9.04
SUPHAN BURI,14.474,100.139,1981,2010,Mean Station Pressure,1011.848,1010.355,1008.873,1007.428,1006.16,1005.41,1005.53,1005.78,1007.17,1009.21,1011.12,1012.65
SUPHAN BURI,14.474,100.139,1981,2010,Mean MSL Pressure,1012.831,1011.336,1009.839,1008.391,1007.12,1006.5,1006.62,1006.73,1008.13,1010.19,1012.11,1013.63
SUPHAN BURI,14.474,100.139,1981,2010,Mean Maximum Temperature,32.067,33.941,35.546,36.976,35.71,34.64,34.12,33.96,33.42,32.32,31.53,30.81
SUPHAN BURI,14.474,100.139,1981,2010,Mean Minimum Temperature,20.506,22.58,24.184,25.637,25.75,25.48,25.03,24.93,24.76,24.54,22.79,20.04
SUPHAN BURI,14.474,100.139,1981,2010,Mean Dry-bulb Temperature,25.742,27.437,28.963,30.449,29.84,29.18,28.72,28.52,28.3,27.98,26.79,25
SUPHAN BURI,14.474,100.139,1981,2010,Mean Relative Humidity,70.632,72.689,72.278,70.599,73.94,75.03,75.85,76.58,80.02,79.98,74.6,69.6
SUPHAN BURI,14.474,100.139,1981,2010,Total Rainfall,3.704,6.948,18.934,49.133,114.32,94.43,98.76,118.4,223.36,196.74,44.06,6.65
U THONG AGROMET.,14.304,99.865,1981,2010,Mean Station Pressure,1011.94,1010.174,1008.66,1007.622,1006.19,1005.75,1005.88,1005.75,1006.79,1008.71,1010.54,1011.12
U THONG AGROMET.,14.304,99.865,1981,2010,Mean MSL Pressure,1012.716,1010.941,1009.422,1008.379,1006.95,1006.5,1006.64,1006.52,1007.55,1009.48,1011.31,1011.9
U THONG AGROMET.,14.304,99.865,1981,2010,Mean Maximum Temperature,31.338,33.987,36.181,36.86,34.81,34.61,33.68,33.73,33.61,32.44,31.24,31.02
U THONG AGROMET.,14.304,99.865,1981,2010,Mean Minimum Temperature,17.913,20.895,23.106,24.465,24.29,24.26,23.94,23.98,23.61,23.07,20.72,18.68
U THONG AGROMET.,14.304,99.865,1981,2010,Mean Dry-bulb Temperature,24.692,27.444,29.295,30.384,29.27,29.13,28.51,28.51,28.27,27.7,26.1,24.9
U THONG AGROMET.,14.304,99.865,1981,2010,Mean Relative Humidity,72.863,73.458,69.718,70.623,77.4,76.74,76.96,76.94,80.2,82.36,74.65,73.8
U THONG AGROMET.,14.304,99.865,1981,2010,Total Rainfall,6.905,15.628,24.238,59.657,115.87,87.82,103.09,101.96,215.87,205.54,47.6,8.32
LOP BURI,14.8,100.645,1981,2010,Mean Station Pressure,1011.084,1009.628,1008.144,1006.737,1005.46,1004.86,1004.95,1005.1,1006.44,1008.47,1009.24,1011.84
LOP BURI,14.8,100.645,1981,2010,Mean MSL Pressure,1012.31,1010.894,1009.401,1007.966,1006.7,1006.03,1006.13,1006.24,1007.69,1009.73,1011.62,1013.11
LOP BURI,14.8,100.645,1981,2010,Mean Maximum Temperature,32.875,34.602,36.038,36.768,35.3,34.25,33.69,33.33,32.82,32.53,32.21,31.71
LOP BURI,14.8,100.645,1981,2010,Mean Minimum Temperature,21.14,23.162,24.801,25.791,25.58,25.19,24.9,24.88,24.68,24.34,22.79,20.65
LOP BURI,14.8,100.645,1981,2010,Mean Dry-bulb Temperature,26.435,28.125,29.516,30.395,29.55,28.98,28.56,28.33,27.98,27.8,27.11,25.78
LOP BURI,14.8,100.645,1981,2010,Mean Relative Humidity,62.745,65.097,66.448,69.162,74.66,76.17,76.83,78.5,81.45,77.46,66.44,60.25
LOP BURI,14.8,100.645,1981,2010,Total Rainfall,5.681,6.858,32.05,81.523,147.12,123.98,120.15,150.87,265.48,153.67,33.12,4.53
BUA CHUM,15.267,101.187,1981,2010,Mean Station Pressure,1006.484,1005.4,1003.932,1002.602,999.64,1000.38,999.63,999.63,1001.69,1004.14,1006.24,1007.44
BUA CHUM,15.267,101.187,1981,2010,Mean MSL Pressure,1012.33,1010.953,1009.123,1007.639,1006.43,1005.71,1005.62,1005.94,1007.4,1009.86,1011.93,1013.17
BUA CHUM,15.267,101.187,1981,2010,Mean Maximum Temperature,32.288,35.064,36.946,37.507,35.55,34.45,33.85,33.18,32.61,32.2,31.65,30.91
BUA CHUM,15.267,101.187,1981,2010,Mean Minimum Temperature,18.193,20.799,23.097,24.795,24.87,24.72,24.29,24.1,23.96,23.25,20.56,17.83
BUA CHUM,15.267,101.187,1981,2010,Mean Dry-bulb Temperature,25.03,27.406,29.492,30.344,29.27,28.94,28.48,27.97,27.58,27.19,25.68,24.33
BUA CHUM,15.267,101.187,1981,2010,Mean Relative Humidity,64.915,62.075,63.12,67.996,76.72,77.8,78.65,81.84,84.69,80.95,72.86,67.05
BUA CHUM,15.267,101.187,1981,2010,Total Rainfall,6.659,9.078,45.79,81.448,136.22,116.32,117,169.25,251.69,127.28,22.08,2.51
PILOT STATION,13.394,100.599,1981,2010,Mean Station Pressure,1010.597,1009.953,1008.423,1007.123,1005.65,1005.13,1005.18,1005.34,1006.31,1008,1009.53,1011.01
PILOT STATION,13.394,100.599,1981,2010,Mean MSL Pressure,1016.754,1016.946,1014.589,1014.584,1012.78,1013.13,1013.98,1013.77,1014.65,1016.51,1014.02,1017.78
PILOT STATION,13.394,100.599,1981,2010,Mean Maximum Temperature,29.228,29.448,30.112,31.402,31.43,30.95,30.49,30.33,30.51,30.65,30.15,29.09
PILOT STATION,13.394,100.599,1981,2010,Mean Minimum Temperature,24.787,26.116,27.195,28.061,27.63,27.43,27.08,26.86,26.23,25.96,25.49,24
PILOT STATION,13.394,100.599,1981,2010,Mean Dry-bulb Temperature,26.803,27.928,28.924,30.035,29.99,29.86,29.29,29.2,29.13,28.76,27.97,26.97
PILOT STATION,13.394,100.599,1981,2010,Mean Relative Humidity,70.133,75.296,75.609,75.589,74.5,74.17,74.58,74.81,75.4,74.99,68.44,66.94
PILOT STATION,13.394,100.599,1981,2010,Total Rainfall,10.044,22.824,32.477,44.877,140.91,88.56,80.96,105.31,221.88,188.13,44.06,5.67
Samut Prakarn,13.517,100.762,1981,2010,Mean Station Pressure,1012.438,1009.758,1009.527,1007.992,1006.09,1006.12,1006.28,1006.49,1007.2,1008.33,1010.16,1010.61
PRACHIN BURI,14.058,101.369,1981,2010,Mean Station Pressure,1011.56,1010.397,1009.074,1007.703,1006.47,1005.92,1005.87,1006.1,1007.13,1008.9,1010.52,1010.9
PRACHIN BURI,14.058,101.369,1981,2010,Mean MSL Pressure,1012.352,1011.35,1009.964,1008.63,1007.45,1006.9,1007.03,1007.1,1008.21,1009.84,1011.53,1012.85
PRACHIN BURI,14.058,101.369,1981,2010,Mean Maximum Temperature,33.199,34.857,36.284,36.776,35.08,33.84,33.18,32.81,32.72,32.73,32.66,32.19
PRACHIN BURI,14.058,101.369,1981,2010,Mean Minimum Temperature,20.75,22.746,24.309,25.371,25.35,25.23,24.94,24.89,24.73,24.54,22.98,20.51
PRACHIN BURI,14.058,101.369,1981,2010,Mean Dry-bulb Temperature,26.8,28.217,29.486,30.146,29.3,28.94,28.48,28.28,28.13,28.08,27.44,26.2
PRACHIN BURI,14.058,101.369,1981,2010,Mean Relative Humidity,64.589,67.168,69.364,73.056,79.37,80.8,81.53,82.38,82.77,77.88,67.76,62.59
PRACHIN BURI,14.058,101.369,1981,2010,Total Rainfall,7.737,15.841,49.92,118.013,231,223.53,271.92,358.52,349.37,160.86,31.66,5
KABIN BURI,13.983,101.707,1981,2010,Mean Station Pressure,1010.858,1009.973,1008.539,1007.17,1006.01,1005.51,1005.44,1005.66,1006.7,1008.51,1010.02,1011.3
KABIN BURI,13.983,101.707,1981,2010,Mean MSL Pressure,1012.251,1011.365,1009.913,1008.545,1007.4,1006.88,1006.8,1007.03,1008.08,1010.16,1011.42,1012.7
KABIN BURI,13.983,101.707,1981,2010,Mean Maximum Temperature,33.474,35.166,36.524,36.981,34.98,33.45,32.7,32.37,32.54,32.66,32.45,31.96
KABIN BURI,13.983,101.707,1981,2010,Mean Minimum Temperature,19.915,21.935,23.736,24.903,24.97,24.83,24.53,24.44,24.35,23.89,22.19,19.83
KABIN BURI,13.983,101.707,1981,2010,Mean Dry-bulb Temperature,26.304,27.831,29.121,29.768,28.89,28.41,27.91,27.73,27.67,27.5,26.66,25.61
KABIN BURI,13.983,101.707,1981,2010,Mean Relative Humidity,68.174,68.125,70.372,73.448,80.34,82.36,83.89,84.57,84.68,81.15,72.35,67.72
KABIN BURI,13.983,101.707,1981,2010,Total Rainfall,9.038,24.881,51.524,98.75,192.3,197.88,241.17,290.36,303.26,154.45,29.12,3.94
NAKHON RATCHASIMA,14.968,102.086,1981,2010,Mean Station Pressure,1000.104,999.98,999.337,1000.929,1000.85,1000.71,1000.7,1000.68,1000.7,999.7,997.85,997.76
NAKHON RATCHASIMA,14.968,102.086,1981,2010,Mean MSL Pressure,1013.417,1011.372,1009.58,1008.081,1006.92,1005.96,1006.02,1006.14,1007.89,1010.35,1012.57,1014.32
NAKHON RATCHASIMA,14.968,102.086,1981,2010,Mean Maximum Temperature,30.726,33.596,35.582,36.537,34.97,34.38,33.83,33.22,32.21,31.01,30.15,29.31
NAKHON RATCHASIMA,14.968,102.086,1981,2010,Mean Minimum Temperature,18.453,20.998,23.164,24.85,25.03,25.12,24.68,24.51,24.02,23.24,21.06,18.28
NAKHON RATCHASIMA,14.968,102.086,1981,2010,Mean Dry-bulb Temperature,24.346,26.94,28.874,29.967,29.11,29.06,28.57,28.13,27.42,26.73,25.42,23.63
NAKHON RATCHASIMA,14.968,102.086,1981,2010,Mean Relative Humidity,64.212,61.734,61.269,65.478,72.71,72.03,73.05,75.44,80.1,78.46,71.33,65.82
NAKHON RATCHASIMA,14.968,102.086,1981,2010,Total Rainfall,8.181,16.064,37.067,72.167,154.09,104.53,120.94,157.22,228.27,146.28,23.87,2.71
PAKCHONG AGROMET.,14.644,101.332,1981,2010,Mean Station Pressure,969.504,967.909,966.478,965.632,964.19,963.65,963.61,963.54,964.61,966.42,968.28,968.72
PAKCHONG AGROMET.,14.644,101.332,1981,2010,Mean MSL Pressure,1013.546,1011.548,1009.856,1008.909,1007.46,1006.82,1006.88,1006.87,1008.09,1010.05,1012.17,1012.73
PAKCHONG AGROMET.,14.644,101.332,1981,2010,Mean Maximum Temperature,29.863,32.255,33.348,33.461,31.8,32.12,31.04,30.67,30.3,29.88,29.09,29.41
PAKCHONG AGROMET.,14.644,101.332,1981,2010,Mean Minimum Temperature,17.243,19.766,21.371,22.727,23.41,23.8,23.56,23.29,22.52,22.04,19.8,18.22
PAKCHONG AGROMET.,14.644,101.332,1981,2010,Mean Dry-bulb Temperature,23.396,25.587,26.913,27.33,26.94,27.39,26.72,26.31,25.65,25.2,23.98,23.38
PAKCHONG AGROMET.,14.644,101.332,1981,2010,Mean Relative Humidity,62.13,64.017,66.418,73.872,77.98,75.46,76.09,78.96,84.41,82.64,70.04,65.95
PAKCHONG AGROMET.,14.644,101.332,1981,2010,Total Rainfall,10.645,26.081,65.554,115.413,164.76,84.81,103.93,138.21,227.19,177.54,27.44,7.84
CHOK CHAI,14.719,102.169,1981,2010,Mean Station Pressure,996.492,996.602,996.044,997.738,997.44,997.17,997.14,997.13,997.47,996.53,994.03,993.53
CHOK CHAI,14.719,102.169,1981,2010,Mean MSL Pressure,1013.178,1011.686,1009.765,1008.244,1007.1,1006.29,1006.15,1006.42,1007.94,1010.54,1012.6,1014.04
CHOK CHAI,14.719,102.169,1981,2010,Mean Maximum Temperature,30.988,33.535,35.184,35.934,34.46,33.9,33.38,32.83,31.98,30.91,30.09,29.38
CHOK CHAI,14.719,102.169,1981,2010,Mean Minimum Temperature,17.577,20.222,22.649,24.433,24.78,24.87,24.47,24.32,23.88,23.03,20.48,17.46
CHOK CHAI,14.719,102.169,1981,2010,Mean Dry-bulb Temperature,24.416,26.504,28.488,29.606,28.77,28.74,28.28,27.91,27.26,26.57,25.09,23.63
CHOK CHAI,14.719,102.169,1981,2010,Mean Relative Humidity,67.055,64.19,64.674,67.996,75.23,74.41,74.9,77.02,81.75,80.95,74.7,69.78
CHOK CHAI,14.719,102.169,1981,2010,Total Rainfall,3.958,14.804,37.491,81.281,149.04,107.27,118.89,153.53,211.59,164.32,29.35,3.23
SURIN,14.883,103.5,1981,2010,Mean Station Pressure,1001.231,1000.174,998.382,999.04,997.93,998.68,999.76,999.94,997.15,999.75,999.32,999.85
SURIN,14.883,103.5,1981,2010,Mean MSL Pressure,1013.44,1011.53,1009.796,1008.312,1007.22,1006.28,1006.32,1006.35,1008.01,1010.3,1012.38,1014.12
SURIN,14.883,103.5,1981,2010,Mean Maximum Temperature,31.232,33.538,35.37,35.996,34.47,33.43,32.68,32.18,31.72,31.1,30.8,29.99
SURIN,14.883,103.5,1981,2010,Mean Minimum Temperature,18.078,20.572,23.046,24.873,24.95,24.89,24.56,24.44,24.23,23.26,20.76,18.11
SURIN,14.883,103.5,1981,2010,Mean Dry-bulb Temperature,24.124,26.576,28.71,29.783,28.84,28.34,27.87,27.57,27.26,26.66,25.29,23.56
SURIN,14.883,103.5,1981,2010,Mean Relative Humidity,65.321,63.046,62.513,67.315,76.01,78.64,80.18,82.12,83.93,80.61,73.1,67.53
SURIN,14.883,103.5,1981,2010,Total Rainfall,5.63,11.457,45.553,93.333,179.8,204.74,221.29,256.25,255.44,128.16,28.67,1.89
SURIN AGROMET.,14.883,103.45,1981,2010,Mean Station Pressure,997.359,995.438,993.744,992.599,991.3,990.61,990.45,990.4,991.59,993.74,995.79,996.37
SURIN AGROMET.,14.883,103.45,1981,2010,Mean MSL Pressure,1014.106,1011.988,1010.141,1008.912,1007.65,1006.93,1006.8,1006.77,1008,1010.23,1012.42,1013.08
